address,symbol,decimals,name
Fm9rHUTF5v3hwMLbStjZXqNBBoZyGriQaFM6sTFz3K8A,MBS,6,MonkeyBucks
HfYFjMKNZygfMC8LsQ8LtpPsPxEJoXJx4M6tqi75Hajo,CWAR,9,Cryowar Token
BiDB55p4G3n1fGhwKFpxsokBMqgctL4qnZpDH1bVQxMD,DIO,9,Decimated
7Q2afV64in6N6SeZsAAB81TJzwDoD6zpqmHkzi9Dcavn,JSOL,9,JPOOL Solana Token
FTkj421DxbS1wajE74J34BJ5a1o9ccA97PkK6mYq9hNQ,MINECRAFT,9,Synex Coin
So11111111111111111111111111111111111111112,SOL,9,Wrapped SOL
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USDC,6,USD Coin
9n4nbM75f5Ui33ZbPYXn59EwSgE8CGsHtAeTH5YFeJ9E,soBTC,6,Wrapped Bitcoin (Sollet)
2FPyTwcZLUg1MDrwsyoP4D6s1tM7hAkHYRjkNb5w6Pxk,soETH,6,Wrapped Ethereum (Sollet)
SRMuApVNdxXokk5GT7XD5cUUgXMBCoAz2LHeuAoKWRt,SRM,6,Serum
EchesyfXePKdLtoiZSL8pBe8Myagyy8ZRqsACNCFGnvp,FIDA,6,Bonfida
MAPS41MDahZ9QdKXhVa4dWB9RuyfV4XqhyAZ8XcYepb,MAPS,6,MAPS
z3dn17yLaGMKffVogeFHQ9zWVcXgqgf3PQnDsNs2g6M,OXY,6,Oxygen Protocol
FtgGSFADXBtroxq8VCausXRr2of47QBf5AS1NtZCu4GD,BRZ,4,BRZ
Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,USDT,6,USDT
4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,RAY,6,Raydium
EPeUFDgHRxs9xxEPVaL6kfGQvCon7jmAWKVUHuux1Tpz,BAT,8,Basic Attention Token (Portal)
9LzCMqDgTKYz9Drzqnpgee3SGa89up3a247ypMj2xrqM,AUDIO,8,Audius (Portal)
8HGyAAB1yoM1ttS7pXjHMa3dukTFGQggnFFH3hJZgzQh,COPE,6,COPE
8PMHT4swUMtBzgHnh5U564N5sjPSiUz2cjEQzFnnP1Fo,ROPE,9,Rope Token
ETAtLmCmsoiEEKfNrHKJ2kYy3MoABhU6NQvpSfij5tDs,MEDIA,6,Media Network
StepAscQoEioFxxWGnh2sLBDFp9d8rvKz2Yp39iDpyT,STEP,9,Step
xxxxa1sKNGwFtw2kFn8XauW9xq8hBZ5kVtcSesTT9fW,SLIM,6,Solanium
7xKXtg2CW87d97TXJSDpbD5jBkheTqA83TZRuJosgAsU,SAMO,9,Samoyed Coin
Aw8qLRHGhMcKq7rxs5XBNCd9oe3BvoAhpNMVz7AdGmty,PANDA,9,Panda Coin
ATLASXmbPQxBUYbxPsV97usA3fPQYEqzQBUHgiFCUsXx,ATLAS,8,Star Atlas
poLisWXnNRwC6oBu1vHiuKQzFjGL4XDSu4g9qjz9qVk,POLIS,8,Star Atlas DAO
8ymi88q5DtmdNTn2sPRNFkvMkszMHuLJ1e3RVdWjPa3s,SDOGE,0,SolDoge
9nEqaUcb16sQ3Tn1psbkWqyhPdLmfHWjKGymREjsAgTE,WOOF,6,WOOF
